*InvoiceNo,*Customer,*InvoiceDate,*DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,*ItemAmount,Service Date
1001,Chris Smith,24/10/2025,23/11/2025,Net 30,,My Memo,Trimming,,1,7,7,24/10/2025
1001,,,,,,,Design,New Garden Design,12,71,852,
1001,,,,,,,Trimming,,5,111,555,24/10/2025
1001,,,,,,,Gardening,General maintenance,14,11,154,
1002,Karuna Ramachandran,23/10/2025,23/10/2025,Due on receipt,,,Trimming,,16,41,656,23/10/2025
1002,,,,,,,Soil,Supplies for flower beds,1,54,54,23/10/2025
1003,Lynda Higgs,22/10/2025,21/12/2025,Net 60,,,Rocks,,4,47,188,
1004,Karuna Ramachandran,24/10/2025,08/11/2025,Net 15,,,Soil,Supplies for hanging pots,1,29,29,24/10/2025
1004,,,,,,,Rocks,,5,46,230,24/10/2025
1004,,,,,,,Trimming,,15,48,720,
,,,,,,,,,,,,
All data in this file is for sample purposes only.,,,,,,,,,,,,
* Required column,,,,,,,,,,,,
NOTE:  You must turn on "Custom transaction numbers" in Accounts and Settings or your invoice numbers will be replaced by standard QuickBooks invoice numbers.,,,,,,,,,,,,
